Object_ID,Funding Agency,Year,State,City,Grantee,Awarded Funds,Spent Funds (if applicable) ,"Classification 1: Project Type, primary code (a)","Classification 1: Project Type, primary code (b)","Classification 1: Project Type, primary code (c)","Classification 1: Project Type, secondary code (a)","Classification 1: Project Type, secondary code (b)","Classification 1: Project Type, secondary code (c)",Classification 2: Infrastructure type (I),Classification 2: Infrastructure type (II),Classification 3: Industrial Sector (i),Classification 3: Industrial Sector (ii),Project Title,Award ID,count,FIPS,fips2,County,PctPopChg_09to19,PctChange_MiningEmploy_09to15,mine emply bands,NewMineFlag_09to15,NonMiningFlag_09to15,ARC_Flag,Status,AvgUnempRate_3yr,PerCapMktInc,PovertyRt_5yr,AvgUnemp_PctOfUS_3yr,PCMI_pctOfUs,PovRt_PercOfUS,IndexValueRank,Quartile,EMPTHREEYEAR,UNEMPTHREEYEAR,BEAPOP,PoveryPop_5YrMean
81,ARC,2017,Kentucky,Morehead,Morehead State University,497305,,Education and Workforce Development,,,Training Program,,,,,Undefined/nonspecific,,"Shaping Our Appalachian Region Science, Technology, Engineering, and Mathematics (SOAR STEM) Initiative",,1,21205,21205,Rowan County,0.04830069000985728,0.0,0.0,0,1,ARC,At-Risk,7.8,18642.0,26.0,108.2,48.9,166.6,2771.0,4.0,10019.0,847.0,23655.0,5365.0
109,ARC,2020,Kentucky,Morehead,Gateway Area Development District,50000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning;Workforce Training Program Planning,,,,,Undefined/nonspecific,,Gateway Regional Workforce Development Plan,ARC20C20097,1,21205,21205,Rowan County,0.04830069000985728,0.0,0.0,0,1,ARC,Distressed,5.8,19899.0,26.7,120.5,46.4,183.3,2841.0,4.0,10032.0,620.0,24517.0,5686.0
102,ARC,2019,Kentucky,Williamsburg,Whitley County Fiscal Court,50000,,"Research, Planning, Feasibility Studies",,,Infrastructure Investment;Health,,,Building Construction/Renovation,,Undefined/nonspecific,,Patriot Drug Treatment and Rehabilitative Center,,1,21235,21235,Whitley County,0.01759407357521677,0.3219178082191781,0.3219178082191781,0,0,ARC,Distressed,7.3,19023.0,27.0,134.9,46.8,178.9,2893.0,4.0,12281.0,971.0,36096.0,9191.0
67,ARC,2016,Kentucky,Corbin,"Appalachian Wildlife Foundation, Inc.",1800000,,Economic Asset Development,,,Infrastructure Investment,,,Water/Wastewater,,Tourism/hospitality industry/outdoor recreation,,Appalachian Wildlife Center Infrastructure,,1,21235,21235,Whitley County,0.01759407357521677,0.3219178082191781,0.3219178082191781,0,0,ARC,Distressed,10.1,18586.0,26.0,123.7,50.1,169.2,2879.0,4.0,14053.0,1570.0,35766.0,8891.0
85,ARC,2018,Kentucky,Corbin,"Appalachian Wildlife Foundation, Inc.",1305200,,Economic Asset Development,,,Outdoor/Recreational Development;Infrastructure Investment,,,Water/Wastewater,,Tourism/hospitality industry/outdoor recreation,,Appalachian Wildlife Center Wastewater Treatment Project,,1,21235,21235,Whitley County,0.01759407357521677,0.3219178082191781,0.3219178082191781,0,0,ARC,Distressed,8.8,18227.0,26.0,141.0,45.8,168.1,2911.0,4.0,12187.0,1182.0,36129.0,8871.0
51,EDA,2020,Kentucky,Versailles,Kentucky Community and Technical College System,3880000,,Education and Workforce Development,,,Infrastructure Investment,,,Building Construction/Renovation,,multi-sector,,,"047907478

",1,21239,21239,Woodford County,0.07197562051405429,0.0,0.0,0,1,,Competitive,3.4,40912.0,14.5,69.4,95.5,99.3,687.0,1.0,14090.0,489.0,26368.0,3680.0
123,EDA,2018,Kentucky,Versailles,Kentucky Community and Technical College System,2561376,,Education and Workforce Development,,,Training Program,,,,,manufacturing,,,047907273,1,21239,21239,Woodford County,0.07197562051405429,0.0,0.0,0,1,,Competitive,4.5,37535.0,13.1,71.4,94.4,84.4,701.0,1.0,13553.0,635.0,25793.0,3259.0
125,ARC,2017,Maryland,Frostberg,Tri-County Council for Western Maryland,48000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,Undefined/nonspecific,,I-68 Regional Economic Partnership,,1,24001,24001,Allegany County,-0.06220783890686803,-0.16883116883116883,-0.16883116883116883,0,0,ARC,Transitional,8.0,24289.0,17.3,111.5,63.7,111.0,2035.0,3.0,30749.0,2685.0,72952.0,11489.0
124,ARC,2016,Maryland,Bethesda,National Institute on Drug Abuse,750000,,"Research, Planning, Feasibility Studies",,,Health,,,,,"Health, social services",,"Arc/National Institutes of Health Interagency Agreement on HIV, HCV and Opioid Overdose: Year 2",,1,24031,24031,Montgomery County,0.08120278623593685,0.0,0.0,0,1,,Attainment,5.2,67424.0,6.7,64.2,181.6,43.8,45.0,1.0,505933.0,27847.0,1016677.0,66004.0
127,ARC,2018,Maryland,Bethesda,National Institute on Drug Abuse,750000,,"Research, Planning, Feasibility Studies",,,Health,,,,,"Health, social services",,"ARC/National Institutes of Health Interagency Agreement on HIV, HCV and Opioid Overdose: Year 2",,1,24031,24031,Montgomery County,0.08120278623593685,0.0,0.0,0,1,,Attainment,4.4,70975.0,6.7,70.8,178.4,43.4,53.0,1.0,521403.0,24208.0,1040116.0,67820.0
130,ARC,2020,Maryland,Bethesda,National Institute on Drug Abuse,750000,,Health,"Research, Planning, Feasibility Studies",,Substance Abuse Program,Health,,,,undefined/nonspecific,,ARC/National Institutes of Health Interagency Agreement: Year 4,ARC20C18587,1,24031,24031,Montgomery County,0.08120278623593685,0.0,0.0,0,1,,Attainment,3.5,79828.0,7.0,73.2,186.2,47.9,43.0,1.0,532129.0,19513.0,1058810.0,72085.0
128,ARC,2019,Maryland,Bethesda,National Institute on Drug Abuse,750000,,"Research, Planning, Feasibility Studies",Health,,Health,Substance Abuse Program,,,,,,"ARC/National Institutes of Health Interagency Agreement on HIV, HCV and Opioid Overdose: Year 2",ARC20C18587,1,24031,24031,Montgomery County,0.08120278623593685,0.0,0.0,0,1,,Attainment,3.9,74756.0,6.9,71.1,183.8,45.4,41.0,1.0,526841.0,21176.0,1043863.0,69889.0
129,ARC,2020,Maryland,Hagerstown,Western Maryland Resource Conservation & Development Council,50000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,Manufacturing,,Feasibility Study for the Industrial Hemp Processing Industry,ARC20C20094,1,24043,24043,Washington County,0.024547242759275587,0.0,0.0,0,1,ARC,Transitional,5.1,35868.0,12.8,105.8,83.7,87.9,1144.0,2.0,72431.0,3901.0,150578.0,18045.0
131,EDA,2018,Massachusetts,Somerset,Town of Somerset,330566,325816.0,Economic Asset Development,,,Infrastructure Investment,,,Water/Wastewater,,undetermined/not specific,,,017914825,1,25005,25005,Bristol County,0.030881749455119144,0.0,0.0,0,1,,Transitional,7.4,37640.0,12.7,117.9,94.6,82.0,1174.0,2.0,266107.0,21249.0,556772.0,68016.0
132,EDA,2020,Massachusetts,Somerset,Town of Somerset,646559,,Economic Asset Development,,,Infrastructure Investment,,,Water/Wastewater,,undetermined/not specific,,,"017915035

",1,25005,25005,Bristol County,0.030881749455119144,0.0,0.0,0,1,,Transitional,5.3,40090.0,12.2,109.1,93.5,83.4,997.0,2.0,274948.0,15296.0,561483.0,65842.0
133,EDA,2017,Massachusetts,Somerset,Town of Somerset,550000,,"Research, Planning, Feasibility Studies",,,Infrastructure Investment,,,Water/Wastewater,,undetermined/not specific,,,016914780,1,25005,25005,Bristol County,0.030881749455119144,0.0,0.0,0,1,,Transitional,8.2,34809.0,12.7,114.3,91.3,81.2,1220.0,2.0,263170.0,23618.0,554194.0,67782.0
126,ARC,2017,Maryland,Boston,"Jobs for the Future, INC",100000,,Education and Workforce Development,,,Training Program,,,,,Undefined/nonspecific,,Career Online High School: A Leaping Strategy for Appalachian Communities,,1,25025,25025,Suffolk County,0.11340912962606454,0.0,0.0,0,1,,Transitional,6.0,52450.0,21.2,82.6,137.6,135.6,1042.0,2.0,381627.0,24150.0,767254.0,149227.0
136,EDA,2019,Michigan,Essexville,Township of Hampton,63000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,066906146,1,26017,26017,Bay County,-0.04310064859748912,0.0,0.0,0,1,,Transitional,6.1,27888.0,15.8,112.0,68.6,104.4,1755.0,3.0,49253.0,3192.0,104747.0,16515.0
134,EDA,2016,Michigan,Bad Axe,County of Huron Economic Development Corporation,50000,50000.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,066906046,1,26063,26063,Huron County,-0.06452684340841838,0.0,0.0,0,1,,Transitional,9.1,31303.0,15.8,111.5,84.3,102.7,1625.0,3.0,14078.0,1403.0,32224.0,5106.0
135,EDA,2016,Michigan,Port Huron,St. Clair County,50000,44069.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,066906050,1,26147,26147,St. Clair County,-0.023994111874386652,0.0,0.0,0,1,,Transitional,11.9,27522.0,14.9,145.9,74.1,97.3,2113.0,3.0,65958.0,8873.0,160469.0,23949.0
137,ARC,2018,Mississippi,Starkville,Golden Triangle Planning and Development District,730559,,Education and Workforce Development,,,Training Program,,,,,Undefined/nonspecific,,East Mississippi Power Initiative 2018,,1,28105,28105,Oktibbeha County,0.040192150363952926,0.0,0.0,0,1,ARC,Distressed,7.2,23694.0,33.7,114.3,59.6,218.1,2827.0,4.0,20688.0,1597.0,49800.0,14780.0
144,ETA,2017,Montana,Helena,Montana Department of Labor and Industry,2000000,2000000.0,Education and Workforce Development,"Research, Planning, Feasibility Studies",,Training Program,Economic or Business Development Planning,,,,multi-sector,,MT-Regular-MT,EM311131760A30,1,30049,30049,Lewis and Clark County,0.09522833030996135,0.0,0.0,0,1,,Competitive,4.3,34221.0,11.2,60.1,89.8,71.6,538.0,1.0,33704.0,1524.0,65856.0,7066.0
143,EDA,2019,Montana,Colstrip,Southeastern Montana Development Corporation,80000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning;Infrastructure Investment,,,Building Construction/Renovation,,undetermined/not specific,,,057905934,1,30087,30087,Rosebud County,-0.03205891909455215,0.02531645569620253,0.02531645569620253,0,0,,Transitional,5.5,27604.0,19.7,101.1,67.9,130.3,1918.0,3.0,3943.0,229.0,9287.0,1813.0
138,EDA,2019,Montana,Colstrip,Southeastern Montana Development Corporation,250000,,Business Development,,,Access to Capital,,,,,energy,,,"057905925

",1,30087,30087,Rosebud County,-0.03205891909455215,0.02531645569620253,0.02531645569620253,0,0,,Transitional,5.5,27604.0,19.7,101.1,67.9,130.3,1918.0,3.0,3943.0,229.0,9287.0,1813.0
140,EDA,2017,Montana,Colstrip,Southeastern Montana Development Corporation,70000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,Energy,,,057905874,1,30087,30087,Rosebud County,-0.03205891909455215,0.02531645569620253,0.02531645569620253,0,0,,Transitional,6.3,27866.0,19.5,88.1,73.1,124.9,1743.0,3.0,4022.0,273.0,9326.0,1789.0
142,EDA,2019,Montana,Colstrip,Southeastern Montana Development Corporation,50000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,Energy,,,057905931,1,30087,30087,Rosebud County,-0.03205891909455215,0.02531645569620253,0.02531645569620253,0,0,,Transitional,5.5,27604.0,19.7,101.1,67.9,130.3,1918.0,3.0,3943.0,229.0,9287.0,1813.0
139,EDA,2016,Montana,Colstrip,Southeastern Montana Development Corporation,50000,26124.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,056905821,1,30087,30087,Rosebud County,-0.03205891909455215,0.02531645569620253,0.02531645569620253,0,0,,Transitional,7.2,30103.0,17.3,88.7,81.1,112.4,1511.0,2.0,3765.0,292.0,9329.0,1584.0
141,EDA,2019,Montana,Colstrip,Southeastern Montana Development Corporation,50000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,"057905924

",1,30087,30087,Rosebud County,-0.03205891909455215,0.02531645569620253,0.02531645569620253,0,0,,Transitional,5.5,27604.0,19.7,101.1,67.9,130.3,1918.0,3.0,3943.0,229.0,9287.0,1813.0
148,EDA,2018,New Mexico,Crownpoint,Navajo Technical College,1000300,,Education and Workforce Development,,,Infrastructure Investment,,,Building Construction/Renovation,,energy,,,"087905263
",1,35031,35031,McKinley County,-0.0017484473787276898,-0.37058823529411766,-0.37058823529411766,0,0,,Distressed,10.0,15524.0,37.5,159.1,39.0,242.2,3075.0,4.0,21701.0,2405.0,76708.0,27493.0
145,EDA,2015,New Mexico,Gallup,Northwest New Mexico Council of Governments,327300,327118.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,084005046,1,35031,35031,McKinley County,-0.0017484473787276898,-0.37058823529411766,-0.37058823529411766,0,0,,Distressed,9.0,17022.0,33.6,101.3,47.0,225.5,3013.0,4.0,24261.0,2400.0,73016.0,23841.0
146,EDA,2020,New Mexico,Gallup,Northwest New Mexico Council of Governments,988400,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,069427755,1,35031,35031,McKinley County,-0.0017484473787276898,-0.37058823529411766,-0.37058823529411766,0,0,,Distressed,9.3,17351.0,37.5,191.9,40.5,257.2,3073.0,4.0,21958.0,2244.0,72564.0,27086.0
147,EDA,2019,New Mexico,Gallup,Northwest New Mexico Council of Governments,988400,,"Research, Planning, Feasibility Studies",Education and Workforce Development,,Economic or Business Development Planning,Training Program,,,,undetermined/not specific,,,086905337,1,35031,35031,McKinley County,-0.0017484473787276898,-0.37058823529411766,-0.37058823529411766,0,0,,Distressed,9.8,16315.0,38.1,180.8,40.1,252.1,3076.0,4.0,21682.0,2362.0,74923.0,28089.0
149,EDA,2015,New Mexico,Farmington,San Juan College,1400000,1400000.0,Education and Workforce Development,,,Training Program,,,,,multi-sector,,Four Corners POWER Initiative,081105081,1,35045,35045,San Juan County,-0.046799544769462645,-0.11159737417943107,-0.11159737417943107,0,0,,Transitional,7.9,26383.0,20.4,88.6,72.8,136.9,1926.0,3.0,51307.0,4384.0,128529.0,25834.0
152,ARC,2017,New York,Alfred,The Research Foundation for SUNY on behalf of Alfred State College,1500000,,Business Development,Leadership and community capacity development,,Infrastructure Investment;Technical Assistance,Investment in Leadership/Community Resources,,Equipment and Materials,,"Forestry, farming",Manufacturing,Biorefinery Development and Commercialization Center,,1,36003,36003,Allegany County,-0.05832958770890369,0.0,0.0,0,1,ARC,Transitional,7.4,24265.0,17.0,102.3,63.7,109.2,1928.0,3.0,21841.0,1738.0,47736.0,7377.0
157,ARC,2020,New York,Salamanca,Southern Tier West Regional Planning and Development Board,426304,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,"Health, social services",,Allegany County-Wide Broadband,ARC20C20055,1,36009,36009,Cattaraugus County,-0.052292789820336916,0.0,0.0,0,1,ARC,Transitional,6.2,27331.0,16.9,127.6,63.8,115.9,2067.0,3.0,32895.0,2161.0,77348.0,12777.0
153,ARC,2019,New York,Salamanca,Southern Tier West Regional Planning and Development Board,395000,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,Undefined/nonspecific,,Southwest NY Wireless Broadband,,1,36009,36009,Cattaraugus County,-0.052292789820336916,0.0,0.0,0,1,ARC,Transitional,6.4,27156.0,17.5,117.7,66.8,115.6,1967.0,3.0,33433.0,2284.0,77677.0,13265.0
154,ARC,2019,New York,Dunkirk,City of Dunkirk,60000,,"Research, Planning, Feasibility Studies",,,Infrastructure Investment;Economic or Business Development Planning,,,Site Preparation,,Undefined/nonspecific,,Dunkirk/Chautauqua County Power Plant Redevelopment Alternatives and Feasibility Analysis,,1,36013,36013,Chautauqua County,-0.05931581483266002,0.0,0.0,0,1,ARC,Transitional,6.2,25500.0,19.4,114.0,62.7,128.4,2136.0,3.0,53850.0,3557.0,129504.0,24410.0
151,EDA,2017,New York,Buffalo,Buffalo Erie County Industrial Land Development Corporation,362500,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,"017914783

",1,36029,36029,Erie County,-0.000367775069637883,0.0,0.0,0,1,,Transitional,7.3,35320.0,14.7,101.0,92.7,94.4,1190.0,2.0,422926.0,33176.0,922835.0,131644.0
150,EDA,2016,New York,Amherst,The Research Foundation for the State University of New York,160000,159998.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,016914705,1,36029,36029,Erie County,-0.000367775069637883,0.0,0.0,0,1,,Transitional,7.8,36355.0,14.6,96.4,97.9,94.8,1117.0,2.0,426523.0,36280.0,919866.0,130138.0
155,ARC,2020,New York,,Tompkins County Area Development,404170,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,Cayuga Data Juice-Broadband Connectivity,,1,36053,36053,Tompkins County,-0.03405408349445821,0.0,0.0,0,1,,Transitional,5.5,33284.0,11.1,113.9,77.7,76.2,1188.0,2.0,31120.0,1813.0,70965.0,7397.0
156,ARC,2020,New York,Corning,Southern Tier Network,1552554,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,Multi-sector/multi-career prep,,"Creating a Diverse, Redundant and Resilient High Capacity Fiber Network",*010114922,1,36101,36101,Steuben County,-0.03647843216486514,0.0,0.0,0,1,ARC,Transitional,6.0,32744.0,14.5,123.5,76.4,99.6,1598.0,3.0,40905.0,2597.0,96281.0,13922.0
173,ARC,2020,North Carolina,Asheville,"Organic Growers School, Inc.",34487,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning;Workforce Training Program Planning,,,,,"Forestry, farming",,Collective Impact Strategies for Expanding Beginning Farmer Support and Training Strategic Plan,ARC20C20093,1,37021,37021,Buncombe County,0.09597680410208209,0.0,0.0,0,1,ARC,Transitional,3.9,36870.0,13.2,80.6,86.0,90.8,852.0,2.0,128656.0,5216.0,257607.0,32591.0
163,ARC,2019,North Carolina,Asheville,Mountain BizCapital Inc. dba Mountain BizWorks,940000,,Business Development,Education and Workforce Development,,Entrepreneurial Support;Access to Capital;Technical Assistance,Training Program,,,,Manufacturing,,Growing Outdoors: Expanding the Outdoor Gear Manufacturing Sector,,1,37021,37021,Buncombe County,0.09597680410208209,0.0,0.0,0,1,ARC,Transitional,4.3,34337.0,14.8,79.0,84.4,97.7,992.0,2.0,125272.0,5618.0,256088.0,35996.0
174,ARC,2020,North Carolina,Morganton,The Industrial Commons,977850,,Business Development,Education and Workforce Development,,Entrepreneurial Support;Technical Assistance;Market Development,Training Program (for those overcoming substance abuse),,,,manufacturing,,Creating a Textile and Furniture Circular,ARC20C20063,1,37023,37023,Burke County,-0.004696849700809574,0.0,0.0,0,1,ARC,Transitional,4.9,24393.0,19.3,101.7,56.9,132.6,2185.0,3.0,37947.0,1961.0,89293.0,16660.0
168,ARC,2019,North Carolina,Morganton,The Industrial Commons,98300,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,Manufacturing,,Planning for a Textile and Furniture Circular Economy,ARC20C20063,1,37023,37023,Burke County,-0.004696849700809574,0.0,0.0,0,1,ARC,Transitional,5.6,23030.0,19.9,102.5,56.6,131.5,2220.0,3.0,37372.0,2204.0,88851.0,17135.0
160,ARC,2018,North Carolina,Kernersville,Piedmont Triad Regional Council,99000,,"Research, Planning, Feasibility Studies",,,Workforce Training Program Planning;Infrastructure Investment,,,Building Construction/Renovation,,Undefined/nonspecific,,Dream. Career. Academy. Workforce Development Training and Education Hub Plan,,1,37067,37067,Forsyth County,0.09018450394958223,0.0,0.0,0,1,ARC,Transitional,6.3,35744.0,19.6,100.9,89.9,127.0,1551.0,2.0,166503.0,11252.0,369019.0,69100.0
161,ARC,2018,North Carolina,Sylva,Southwestern NC Planning and Economic Development Commission,1250000,,Business Development,,,Infrastructure Investment,,,Building Construction/Renovation,,"Forestry, farming",,WNC Farmers Market Value-Added Manufacturing & Training Center,,1,37099,37099,Jackson County,0.09105808149785205,0.0,0.0,0,1,ARC,At-Risk,7.1,24095.0,22.0,113.9,60.6,142.0,2364.0,4.0,17098.0,1315.0,41265.0,8139.0
169,ARC,2019,North Carolina,,"Triangle Residential Options for Substance Abusers, Inc. (TROSA)",1500000,,Health,,,Infrastructure Investment,,,,,Undefined/nonspecific,,TROSA's Expansion to Forsyth County,ARC19C19706,1,37105,37105,Durham County,0.06762174679431791,0.0,0.0,0,1,,Transitional,7.1,27761.0,18.3,130.1,68.2,121.0,2099.0,3.0,23942.0,1821.0,59616.0,10673.0
162,ARC,2019,North Carolina,Marshall,French Broad Electric Membership Corporation (FBEMC),1932500,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,Broadband Deployment to Rocky Fork State Park and Surrounding Area,ARC20C20053,1,37115,37115,Madison County,0.04772683490656906,0.0,0.0,0,1,ARC,Transitional,5.6,20941.0,16.6,103.1,51.5,110.1,2188.0,3.0,9001.0,534.0,21340.0,3337.0
171,ARC,2020,North Carolina,Marshall,French Broad Electric Membership Corporation (FBEMC),1939814,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,French Broad EMC Fiber Deployment,,1,37115,37115,Madison County,0.04772683490656906,0.0,0.0,0,1,ARC,Transitional,5.0,22127.0,17.8,102.7,51.6,122.3,2271.0,3.0,9198.0,480.0,21746.0,3622.0
166,ARC,2019,North Carolina,Spruce Pine,Mayland Community College,50000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning;Infrastructure Investment,,,Building Construction/Renovation,,,,Creation of the Pinebridge Development Strategic Plan,ARC19C19705,1,37121,37121,Mitchell County,-0.039476217985750045,0.0,0.0,0,1,ARC,At-Risk,6.9,21195.0,18.0,127.4,52.1,119.4,2461.0,4.0,5912.0,440.0,15126.0,2688.0
159,ARC,2018,North Carolina,Spruce Pine,Mayland Community College,100000,,"Research, Planning, Feasibility Studies",,,Health;Workforce Training Program Planning,,,,,"Health, social services",,"Redeveloping Coal Impacted Communities within the Appalachian Region: The
 Role of Community Colleges in Entrepreneurial Training and the Opioid Crisis",,1,37121,37121,Mitchell County,-0.039476217985750045,0.0,0.0,0,1,ARC,At-Risk,8.5,20385.0,19.5,136.3,51.2,125.8,2601.0,4.0,5953.0,556.0,15246.0,2910.0
158,ARC,2016,North Carolina,Chapel Hill,Center for Rural Entrepreneurship,1747806,,Business Development,,,Technical Assistance;Entrepreneurial Support,,,,,Undefined/nonspecific,,Building Entrepreneurial Communities: The Foundation of an Economic Transition for Appalachia,,1,37135,37135,Orange County,0.1096778050986166,0.0,0.0,0,1,,Transitional,6.0,47007.0,17.8,73.4,126.6,115.9,846.0,2.0,68611.0,4350.0,140352.0,22424.0
165,ARC,2019,North Carolina,Rutherfordton,Isothermal Planning and Development Commission,50000,,"Research, Planning, Feasibility Studies",Leadership and community capacity development,,Health;Workforce Training Program Planning,Investment in Leadership/Community Resources,,,,Multi-sector/multi-career prep,,WNC Works: Recovery to Careers,ARC19C19696,1,37161,37161,Rutherford County,-0.01151747529862852,0.0,0.0,0,1,ARC,At-Risk,7.7,19680.0,19.3,141.4,48.4,127.9,2683.0,4.0,23201.0,1931.0,66421.0,12668.0
164,ARC,2019,North Carolina,Raleigh,North Carolina Department of Information Technology,98273,,"Research, Planning, Feasibility Studies",,,Health;Infrastructure Investment,,,Broadband,,"Health, social services",,Broadband Feasibility Study for Telehealth Deployment in Western North Carolina,,1,37183,37183,Wake County,0.2339285654827507,0.0,0.0,0,1,,Competitive,4.6,48503.0,10.8,84.9,119.2,71.3,410.0,1.0,515293.0,24914.0,1046791.0,105133.0
167,ARC,2019,North Carolina,Raleigh,North Carolina State University,1100000,,Business Development,Education and Workforce Development,,Infrastructure Investment;Entrepreneurial Support;Technical Assistance,Training Program,,Unspecified,,"Forestry, farming",,EmPOWERing Mountain Food Systems,ARC19C19469,1,37183,37183,Wake County,0.2339285654827507,0.0,0.0,0,1,,Competitive,4.6,48503.0,10.8,84.9,119.2,71.3,410.0,1.0,515293.0,24914.0,1046791.0,105133.0
172,ARC,2020,North Carolina,Raleigh,North Carolina Department of Information Technology,633940,,Education and Workforce Development,Health,,Training Program,Improve Access to Care,,,,"Health, social services",,Healthy and Connected Workforce Initiatives,ARC20C20069,1,37183,37183,Wake County,0.2339285654827507,0.0,0.0,0,1,,Competitive,4.3,50479.0,10.1,89.0,117.8,69.3,390.0,1.0,532202.0,23916.0,1072203.0,101256.0
170,ARC,2019,North Carolina,Boone,Appalachian Voices,49940,,Leadership and community capacity development,"Research, Planning, Feasibility Studies",,Investment in Leadership/Community Resources,Infrastructure Investment,,Energy Infrastructure,,Undefined/nonspecific,,Taking a Proven Energy Model to Scale,ARC19C19698,1,37189,37189,Watauga County,0.09980618257992521,0.0,0.0,0,1,ARC,At-Risk,4.8,27362.0,31.3,88.8,67.3,207.3,2502.0,4.0,26127.0,1324.0,53922.0,14797.0
175,EDA,2019,North Dakota,Bismarck,Bismarck State College,415256,,Education and Workforce Development,,,Infrastructure Investment,,,Equipment and Materials,,undetermined/not specific,,,057905923,1,38015,38015,Burleigh County,0.17609583312835145,0.0,0.0,0,1,,Attainment,2.5,48473.0,7.7,45.9,119.2,51.2,65.0,1.0,47945.0,1225.0,94487.0,6745.0
176,EDA,2020,North Dakota,Mandan,North Dakota Association of Rural Electric Cooperatives,2866400,,Education and Workforce Development,,,Infrastructure Investment,,,Building Construction/Renovation,,electrical lineworkers,,,"057905982

",1,38059,38059,Morton County,0.14171307924720614,0.0,0.0,0,1,,Attainment,3.1,42221.0,7.9,64.6,98.5,54.0,195.0,1.0,16129.0,519.0,30796.0,2318.0
199,ARC,2017,Ohio,Jefferson,Growth Partnership for Ashtabula,30000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning;Infrastructure Investment,,,Transportation/Transit Infrastructure,,transportation,,Rail and Port Transportation Strategic Plan,,1,39007,39007,Ashtabula County,-0.04193227386031114,0.0,0.0,0,1,ARC,Transitional,8.7,22902.0,19.0,120.2,60.1,121.9,2311.0,3.0,41932.0,3973.0,99175.0,18357.0
203,ARC,2018,Ohio,Athens,Ohio University,750000,,Business Development,Education and Workforce Development,Economic Asset Development,Technical Assistance;Entrepreneurial Support,Training Program,Infrastructure Investment,Broadband,,multi-sector,,Social Enterprise Ecosystem II,ARC18C18918,1,39009,39009,Athens County,0.008802137220686566,-1.0,-1.0,0,0,ARC,Distressed,7.3,23595.0,33.0,117.1,59.3,213.3,2826.0,4.0,25530.0,2023.0,65886.0,18263.0
181,EDA,2019,Ohio,Athens,Ohio University,1150638,,Business Development,,,Infrastructure Investment,,,Building Construction/Renovation,,undetermined/not specific,,,"067906147

",1,39009,39009,Athens County,0.008802137220686566,-1.0,-1.0,0,0,ARC,At-Risk,6.4,24097.0,31.2,118.0,59.2,206.8,2768.0,4.0,26070.0,1787.0,66186.0,17301.0
216,ARC,2020,Ohio,Athens,Appalachian Center for Economic Networks,514827,,Business Development,,,Technical Assistance;Infrastructure Investment;Entrepreneurial Support,,,Equipment and Materials,,multi-sector (hardwoods cluster),,Appalachian Center for Economic Networks (ACENet),ARC20C20064,1,39009,39009,Athens County,0.008802137220686566,-1.0,-1.0,0,0,ARC,Distressed,6.2,24421.0,30.2,128.7,57.0,206.9,2819.0,4.0,26433.0,1753.0,66597.0,16837.0
204,ARC,2019,Ohio,The Plains,Rural Action Inc.,1235727,,Economic Asset Development,Business Development,Education and Workforce Development,Outdoor/Recreational Development;Infrastructure Investment,Technical Assistance;Entrepreneurial Support,Training Program,Trail Construction,,Tourism/hospitality industry/outdoor recreation,,"Asset-based Entrepreneurship: Trails, Towns, and Tourism in the Appalachian Ohio Economy",ARC19C19725,1,39009,39009,Athens County,0.008802137220686566,-1.0,-1.0,0,0,ARC,At-Risk,6.4,24097.0,31.2,118.0,59.2,206.8,2768.0,4.0,26070.0,1787.0,66186.0,17301.0
